date,factor_name,ic,p_value
2022-03-01,momentum,-0.005825131393429829,0.8974525214314615
2022-04-01,momentum,0.030113603701732237,0.5042841379680839
2022-05-01,momentum,0.16642819121734462,0.000202701940642784
2022-06-01,momentum,-0.32014425288959575,3.0930997312206606e-13
2022-07-01,momentum,0.3192953842813515,3.4066138676991343e-13
2022-08-01,momentum,0.16708755308076192,0.00018820140625585923
2022-09-01,momentum,0.11173535010546895,0.01286577361611965
2022-10-01,momentum,-0.19742036401628932,9.65122240840652e-06
2022-11-01,momentum,0.19710455079725028,9.979236492267493e-06
2022-12-01,momentum,-0.5216690214143525,6.77005033350464e-36
2023-01-01,momentum,0.018471976002446155,0.6815217282808294
2023-02-01,momentum,0.010075408462505236,0.8228899540736289
2023-03-01,momentum,0.0813181651324901,0.07037805567738051
2023-04-01,momentum,0.04544933334120067,0.312412461423815
2023-05-01,momentum,0.06772177708779013,0.13202618579631187
2023-06-01,momentum,-0.15320623644112966,0.0006177727757401702
2023-07-01,momentum,0.16374945666176924,0.00024984174221159383
2023-08-01,momentum,-0.025264981875613407,0.5745604698696303
2023-09-01,momentum,0.012454787375278059,0.7820164923026368
2023-10-01,momentum,0.16915215633979833,0.0001537079371161614
2023-11-01,momentum,-0.22722955523955066,3.138518395490134e-07
2023-12-01,momentum,0.34679687139549303,1.7174444984251145e-15
2024-01-01,momentum,0.3563983981619996,2.4845958957602535e-16
2024-02-01,momentum,-0.13915234508488944,0.001873902102691488
2024-03-01,momentum,-0.1606694187667787,0.0003228324241620827
2024-04-01,momentum,0.05024325900994775,0.26357394856599226
2024-05-01,momentum,0.09650956903990036,0.031293878794245306
2024-06-01,momentum,-0.1179750108930377,0.008405973870943384
2024-07-01,momentum,0.17376578017895583,9.711534539247858e-05
2024-08-01,momentum,0.024014526835543042,0.5929012316064793
2024-09-01,momentum,0.19131642840115276,1.7200446129597018e-05
2024-10-01,momentum,0.17276780066156408,0.0001049439923522428
2024-11-01,momentum,-0.08511451819301252,0.05743377566898424
2024-12-01,momentum,0.2225312311369727,5.124142329868913e-07
2025-01-01,momentum,-0.08707941183571961,0.051892747126978764
2025-02-01,momentum,-0.2409679233632532,5.0419557302411937e-08
2025-03-01,momentum,0.16608001526826824,0.0001884238804245568
2025-04-01,momentum,0.029300665601068778,0.5128928104414401
2025-05-01,momentum,-0.14992895483932533,0.0007612053135065425
2025-06-01,momentum,-0.018149343614731188,0.6852893900495229
2025-07-01,momentum,-0.23950759834911853,5.7406890325414174e-08
2025-08-01,momentum,0.3176722570794666,3.284678391566548e-13
2025-09-01,momentum,0.007438509435312642,0.868091801989053
2025-10-01,momentum,-0.04666125915499678,0.2972358430776833
2025-11-01,momentum,-0.09098666412195529,0.041781074052856734
2025-12-01,momentum,0.12263625736574658,0.005986938861566064
2026-01-01,momentum,0.08525648304983659,0.05651994522254991
2026-02-01,momentum,-0.022167209069935658,0.6202564129832449
2024-11-01,quality,0.02097902097902098,0.9484022252365222
2024-12-01,quality,0.22988505747126436,0.23926730441484698
2025-01-01,quality,-0.10864142081086847,0.019241033740100506
2025-02-01,quality,-0.13120124445607534,0.003419393766412316
2025-03-01,quality,0.14164846379374185,0.0015125719374675223
2025-04-01,quality,0.03882633110329893,0.38678319798636984
