factor_name,total_return,annual_return,annual_sharpe,max_drawdown,n_months
momentum,0.6873116935645258,0.1257460945441471,0.8483390492893353,-0.1916074170790417,53
quality,0.21450373534586875,0.03652868916813956,0.5707047092706293,-0.12402342029420443,65
size,0.4606637203902022,0.07362637132945626,1.0049443670569096,-0.06350758662312309,64
value,0.3008455468675777,0.05055144688820601,0.5321988553517375,-0.1331171545746766,64
volatility,-0.7107724828441098,-0.24487905715113034,-1.0916072165412656,-0.7562004098459303,53
