date,factor_name,long_return,short_return,long_short,cumulative
2022-03-01,momentum,-0.07883540011188017,-0.08883815441720187,0.010002754305321703,1.0100027543053216
2022-04-01,momentum,0.028580946186670286,0.002988475484301286,0.025592470702369002,1.0358512202041925
2022-05-01,momentum,-0.09440837821950965,-0.12619768817258495,0.03178930995307531,1.0687802157085349
2022-06-01,momentum,0.062072811331240534,0.13633650064990255,-0.07426368931866202,0.9894086538192237
2022-07-01,momentum,0.007433944025147994,-0.04087149852136761,0.0483054425465156,1.0372024767013137
2022-08-01,momentum,-0.0755098690283509,-0.10770010044681108,0.03219023141846018,1.070590264454129
2022-09-01,momentum,0.13292987465572903,0.09808318679739729,0.03484668785833173,1.1078967892237308
2022-10-01,momentum,0.04591308486974496,0.0671127859028498,-0.021199701033104843,1.0844097085166509
2022-11-01,momentum,-0.047141362746039105,-0.08333188391886016,0.03619052117282105,1.1236550610327354
2022-12-01,momentum,0.021693594170351018,0.16776407422795955,-0.14607048005760853,0.9595222268485224
2023-01-01,momentum,-0.019509167091211123,-0.02080888725084818,0.0012997201596370558,0.9607693372303772
2023-02-01,momentum,0.004406428027031101,0.014659994688575198,-0.010253566661544096,0.950918024784718
2023-03-01,momentum,0.006552630568555382,-0.0066057890252750094,0.01315841959383039,0.9634306031541717
2023-04-01,momentum,-0.0037145836550415206,0.0007086755738228677,-0.004423259228864388,0.9591690998473996
2023-05-01,momentum,0.09377900923300846,0.1048939680782198,-0.01111495884521133,0.9485079747769974
2023-06-01,momentum,0.030851158195915194,0.05931671741300139,-0.028465559217086194,0.9215081648531044
2023-07-01,momentum,-0.016160461107226846,-0.03450286905295453,0.018342407945727682,0.938410843538159
2023-08-01,momentum,-0.05634087973697979,-0.05029310530580789,-0.006047774431171901,0.9327355464326744
2023-09-01,momentum,-0.04878397641788463,-0.042570650425062244,-0.006213325992822382,0.9269401564175949
2023-10-01,momentum,0.13677941035766247,0.1004564680403193,0.036322942317343156,0.9606093502507803
2023-11-01,momentum,0.06041772349140286,0.1065297297274215,-0.04611200623601864,0.9163137259016385
2023-12-01,momentum,0.030153704831878445,-0.03429131878530352,0.06444502361718196,0.9753655856081177
2024-01-01,momentum,0.12152018901801936,0.016396103091918607,0.10512408592610076,1.077900001238947
2024-02-01,momentum,0.05076941156360121,0.0525762446465091,-0.0018068330829078853,1.075952415856642
2024-03-01,momentum,-0.04978928954450613,-0.021378124876690996,-0.028411164667815132,1.0453833545950055
2024-04-01,momentum,0.05089584537668586,0.03629402176078566,0.014601823615900202,1.0606478579498
2024-05-01,momentum,0.012573896089674701,-0.017765424730079866,0.030339320819754566,1.0928271935889244
2024-06-01,momentum,0.012715962976280928,0.03472346990866989,-0.022007506932388964,1.068776791550113
2024-07-01,momentum,0.03260778564790043,0.003488230819978414,0.02911955482792201,1.099899095930467
2024-08-01,momentum,0.03955467395699291,0.022628576710323672,0.01692609724666923,1.1185160949897097
2024-09-01,momentum,0.007597262378103095,-0.027053366941765435,0.03465062931986853,1.157273381585505
2024-10-01,momentum,0.1188306763787357,0.05824230326603984,0.060588373112695874,1.2273906930223988
2024-11-01,momentum,-0.06579333593141633,-0.05773720214933667,-0.00805613378207966,1.2175026693965307
2024-12-01,momentum,0.06942738721829694,0.016109594701201792,0.05331779251709515,1.2824172241124243
2025-01-01,momentum,-0.040044680987286495,-0.00659865741768708,-0.033446023569599415,1.2395254674087
2025-02-01,momentum,-0.08562023918504566,-0.03206394787289715,-0.05355629131214851,1.1731410803873326
2025-03-01,momentum,0.003164008071736088,-0.043036048947766685,0.04620005701950277,1.2273402651931482
2025-04-01,momentum,0.06671802360483256,0.05263984736603508,0.014078176238797488,1.24461897775151
2025-05-01,momentum,0.035239690188335455,0.06102391969237171,-0.025784229504036256,1.212527436384086
2025-06-01,momentum,0.02005610679505247,0.011391847091920853,0.008664259703131616,1.2230330889900902
2025-07-01,momentum,0.01543396867244916,0.05235373357722006,-0.0369197649047709,1.1778789948738204
2025-08-01,momentum,0.07196892100252576,-0.015049496749207306,0.08701841775173307,1.2803761613107418
2025-09-01,momentum,0.0015059231253884628,-0.002745212515424887,0.00425113564081335,1.2858192140437377
2025-10-01,momentum,0.009223176474185659,0.022222032920835102,-0.012998856446649443,1.2691050346640396
2025-11-01,momentum,0.014825327629745514,0.0148170855719012,8.24205784431412e-06,1.2691154947011456
2025-12-01,momentum,0.059363741175967245,0.004427320154885286,0.05493642102108196,1.3388361578424264
2026-01-01,momentum,0.05302432606017225,0.014908688691471347,0.038115637368700904,1.389866751330853
2026-02-01,momentum,-0.09735100016001438,-0.0892966947831477,-0.008054305376866685,1.3786723400824805
2026-03-01,momentum,0.0,0.0,0.0,1.3786723400824805
2024-10-01,quality,0.0711877938436973,0.0133512280592326,0.0578365657844647,1.0578365657844646
2024-11-01,quality,-0.018620497783301798,-0.04254284639064345,0.023922348607341656,1.0831425008807536
2024-12-01,quality,0.06190584398484376,-0.011282553030587894,0.07318839701543164,1.1624159642595018
2025-01-01,quality,-0.0021568370717280614,0.013443062308649606,-0.015599899380377667,1.144282392178909
2025-02-01,quality,-0.05070543029560863,-0.026187573853965813,-0.024517856441642817,1.1162270407587669
2025-03-01,quality,-0.007193115914332129,-0.037402426112933256,0.030209310198601125,1.1499474896851152
2025-04-01,quality,0.0632849657835989,0.052658096544459826,0.010626869239139084,1.162167831289875
2025-05-01,quality,0.03446982040976107,0.05542901755075638,-0.02095919714099531,1.1378097266029477
2025-06-01,quality,0.020211063809778024,0.017104603799913305,0.0031064600098647172,1.1413442870174748
2025-07-01,quality,0.019167512985108385,0.046828487968080736,-0.027660974982972354,1.109773591247326
2025-08-01,quality,0.023381670200527567,0.028189584731077022,-0.004807914530549458,1.104437894672348
2025-09-01,quality,-0.011669686171340985,0.0057543787171743235,-0.01742406488851531,1.0851940971302418
2025-10-01,quality,0.011893382810623196,0.030172190646896288,-0.018278807836273094,1.0653580427637404
2025-11-01,quality,0.006860200113703786,0.006162229343174993,0.0006979707705287936,1.0661016315377372
2025-12-01,quality,0.04492183406251636,0.051743324570859235,-0.006821490508342875,1.0588292293772736
2026-01-01,quality,0.03870703137461659,0.053365129622476686,-0.014658098247860095,1.0433088065053555
2026-02-01,quality,-0.08396185724850154,-0.07826452856420668,-0.005697328684294851,1.0373647333154752
2026-03-01,quality,0.0,0.0,0.0,1.0373647333154752
2024-10-01,size,0.0711877938436973,0.0133512280592326,0.0578365657844647,1.0578365657844646
2024-11-01,size,-0.0012779656895362797,-0.06746703236066313,0.06618906667112685,1.1278537807643285
2024-12-01,size,0.024215713321236964,0.038140679793026454,-0.013924966471789488,1.112148454682104
2025-01-01,size,-0.022645681452142054,0.006344190063334894,-0.028989871515476946,1.0799074138747338
2025-02-01,size,-0.039319204518073685,-0.04792853025929102,0.008609325741217337,1.089204688571137
2025-03-01,size,-0.03427182296447139,-0.012128167793893405,-0.022143655170577984,1.0650857155372409
2025-04-01,size,0.04982420059915195,0.04863870203767528,0.0011854985614766697,1.0663483731208596
2025-05-01,size,0.048116283497283155,0.04648211408431112,0.0016341694129720365,1.068090967015786
2025-06-01,size,0.043906491086785425,-0.0004423974757923791,0.0443488885625778,1.115459614286665
2025-07-01,size,0.051859032972476106,0.024541579576564533,0.02731745339591157,1.1459311303149624
2025-08-01,size,0.021719046174354845,0.03387005514838994,-0.012151008974035097,1.132006910866879
2025-09-01,size,3.9008565456810705e-05,0.01209864023095407,-0.01205963166549726,1.1183553244790272
2025-10-01,size,0.04867813985982562,0.005298823122500393,0.04337931673732523,1.1668688143244772
2025-11-01,size,0.008792058266223347,0.009863109101314589,-0.0010710508350912414,1.1656190385064529
