factor_name,mean_return,nw_tstat,nw_pvalue,n_months,significant,bonferroni_p,bh_p
momentum,0.0074534801056503975,1.5580562904873427,0.11921990490340262,49,False,0.5960995245170131,0.14902488112925327
quality,0.0023979049435304376,0.2800026525128798,0.7794754698478998,18,False,1.0,0.7794754698478998
size,0.012416352409154018,2.700137071842672,0.006931091301198737,18,True,0.034655456505993686,0.034655456505993686
value,0.014279517614921022,2.0045670911731386,0.045009347745725216,18,True,0.22504673872862607,0.07501557957620869
volatility,-0.0163136675191801,-2.131576430933937,0.03304168302565757,49,True,0.16520841512828785,0.07501557957620869
