factor_name,1,2,3,4,5
momentum,0.008913763964218809,0.009081978332044582,0.00934433041540107,0.01229555121816542,0.020018941768131467
quality,0.013300871563567435,0.01322043422571997,0.013047642627461033,0.011599943786331968,0.01652952365026991
size,0.011859663416420205,0.009089978755314518,0.009935906035869493,0.011969925733771945,0.018114430054156656
value,0.012510013956016872,0.01025173762688629,0.011059439770192664,0.009821793549249341,0.01712898687311527
volatility,0.026347500702510743,0.011838807500206876,0.010646881323867992,0.005680552603203955,0.005033142236364142
